,name,url,area_genre,rating,holiday,dinner_price,lunch_price
48,パティスリー ロータス,https://tabelog.com/tw/tokyo/A1319/A131907/13210549/,"西荻窪車站 / 蛋糕, 咖啡店",3.61,星期二,"JPY 1,000 - JPY 1,999","JPY 1,000 - JPY 1,999"
49,MONT-NOM,https://tabelog.com/tw/tokyo/A1317/A131703/13275817/,"自由丘車站 / 麵包, 貝果, 甜食",3.61,星期三, - JPY 999, - JPY 999
50,シヅカ洋菓子店,https://tabelog.com/tw/tokyo/A1314/A131402/13257906/,"白金高輪車站 / 蛋糕, 西式甜點",3.61,星期二,-,"JPY 1,000 - JPY 1,999"
51,和菓子処 大角玉屋 本店,https://tabelog.com/tw/tokyo/A1309/A130903/13095298/,"曙橋車站 / 日式點心, 大福, 銅鑼燒",3.61,-,-, - JPY 999
52,サロン・ド・テ・ミュゼ　イマダミナコ 新宿タカシマヤ店,https://tabelog.com/tw/tokyo/A1304/A130403/13091817/,"新宿車站 / 咖啡店, 蛋糕",3.61,-,"JPY 1,000 - JPY 1,999","JPY 1,000 - JPY 1,999"
53,ル・ジャルダン・ブルー,https://tabelog.com/tw/tokyo/A1327/A132702/13023266/,"京王永山車站 / 蛋糕, 咖啡店",3.61,"星期一, 星期二, 星期三", - JPY 999, - JPY 999
54,HARU*BOUZ,https://tabelog.com/tw/tokyo/A1311/A131103/13056064/,"淺草橋車站 / 麵包, 西式甜點",3.61,"星期六, 星期日, 節假日",-, - JPY 999
55,椛屋,https://tabelog.com/tw/tokyo/A1324/A132404/13157452/,梅島車站 / 刨冰,3.61,星期二,-, - JPY 999
56,ツバメヤ  日本橋店,https://tabelog.com/tw/tokyo/A1302/A130202/13288246/,日本橋車站 / 日式點心,3.61,星期二,"JPY 1,000 - JPY 1,999","JPY 1,000 - JPY 1,999"
57,プレスキルショコラトリー,https://tabelog.com/tw/tokyo/A1320/A132001/13192815/,"吉祥寺車站 / 巧克力, 刨冰",3.61,"星期二, 星期三","JPY 1,000 - JPY 1,999","JPY 1,000 - JPY 1,999"
58,Taisuke Endo,https://tabelog.com/tw/tokyo/A1317/A131702/13298576/,學藝大學車站 / 甜食,3.61,星期一,-,-
59,オー・パン・グルマン,https://tabelog.com/tw/tokyo/A1323/A132302/13098483/,"茗荷谷車站 / 麵包, 三明治, 西式甜點",3.61,"星期一, 星期二, 星期三",-,-
60,エイミーズ ベイクショップ,https://tabelog.com/tw/tokyo/A1319/A131907/13239157/,西荻窪車站 / 西式甜點,3.61,"星期一, 星期二","JPY 1,000 - JPY 1,999","JPY 1,000 - JPY 1,999"
61,アトリエ ド フロレンティーナ,https://tabelog.com/tw/tokyo/A1311/A131106/13107855/,千馱木車站 / 西式甜點,3.61,-,-, - JPY 999
62,オ・プティ・フリアンディーズ,https://tabelog.com/tw/tokyo/A1317/A131708/13055749/,"二子玉川車站 / 麵包, 蛋糕, 甜食",3.61,-, - JPY 999,-
63,高松屋,https://tabelog.com/tw/tokyo/A1316/A131604/13201699/,大崎車站 / 日式點心,3.61,"星期一, 星期日", - JPY 999,-
64,桃六,https://tabelog.com/tw/tokyo/A1302/A130202/13037929/,寶町車站 / 日式點心,3.61,"星期六, 星期日, 節假日",-, - JPY 999
65,大心堂,https://tabelog.com/tw/tokyo/A1311/A131101/13040127/,新御徒町車站 / 日式點心,3.61,"星期日, 節假日",-,-
66,ルルベ デセール,https://tabelog.com/tw/tokyo/A1314/A131401/13275451/,"赤羽橋車站 / 甜食, 蛋糕, 咖啡店",3.61,"星期三, 星期四",-,"JPY 2,000 - JPY 2,999"
67,デセール ル コントワール,https://tabelog.com/tw/tokyo/A1317/A131715/13108815/,"等等力車站 / 甜食, 蛋糕, 西式甜點",3.61,-,"JPY 20,000 - JPY 29,999",-
